,stock,date,0
0,ALLE,2021-09-08,-216556.44733500114
1,ALLE,2021-09-09,154617.8955910004
2,ALLE,2021-09-10,-123074.21381600038
3,ALLE,2021-09-13,225287.47913000075
4,ALLE,2021-09-14,272498.7081619993
5,ALLE,2021-09-15,-170711.70760799828
6,ALLE,2021-09-16,546.2328559993839
7,ALLE,2021-09-17,279237.04420500033
8,ALLE,2021-09-20,117004.80232999891
9,ALLE,2021-09-21,203544.1259949996
10,ALLE,2021-09-22,-110336.29876899802
11,ALLE,2021-09-23,-236277.25984
12,ALLE,2021-09-24,132438.88184099743
13,ALLE,2021-09-27,46480.60179300255
14,ALLE,2021-09-28,239725.05170899743
15,ALLE,2021-09-29,-66121.1324929982
16,ALLE,2021-09-30,320742.02468100004
17,ALLE,2021-10-01,-30905.77517599999
18,ALLE,2021-10-04,238536.9382259992
19,ALLE,2021-10-05,62218.512429001195
20,ALLE,2021-10-06,39810.96972199876
21,ALLE,2021-10-07,-244866.64409200064
22,ALLE,2021-10-08,10146.629996001458
23,ALLE,2021-10-11,255354.45220299874
24,ALLE,2021-10-12,82479.66953199956
25,ALLE,2021-10-13,-62107.388669997934
26,ALLE,2021-10-14,-381753.01146200206
27,ALLE,2021-10-15,-191225.94540999958
28,ALLE,2021-10-18,-76030.46687999999
29,ALLE,2021-10-19,11066.393645001182
30,ALLE,2021-10-20,-225819.6202870012
31,ALLE,2021-10-21,567141.6052880008
32,ALLE,2021-10-22,-214743.72269299993
33,ALLE,2021-10-25,257820.92887599883
34,ALLE,2021-10-26,176690.0763000016
35,ALLE,2021-10-27,231840.4164799993
36,ALLE,2021-10-28,-61489.05207999921
37,ALLE,2021-10-29,-38837.580882000846
38,ALLE,2021-11-01,-174973.44892799834
39,ALLE,2021-11-02,-146959.76807600085
40,ALLE,2021-11-03,197850.9844600008
41,ALLE,2021-11-04,-185173.44904000201
42,ALLE,2021-11-05,-37232.29654399769
43,ALLE,2021-11-08,-66592.16699700149
44,ALLE,2021-11-09,-102591.0438669996
45,ALLE,2021-11-10,37130.4094869984
46,ALLE,2021-11-11,23696.527711002665
47,ALLE,2021-11-12,-298701.823933001
48,ALLE,2021-11-15,119590.04010999855
49,ALLE,2021-11-16,-172808.57055099757
50,ALLE,2021-11-17,-84787.92263700106
51,ALLE,2021-11-18,160908.03994000005
52,ALLE,2021-11-19,119972.30797999918
53,ALLE,2021-11-22,130428.1485569996
54,ALLE,2021-11-23,57852.63270499975
55,ALLE,2021-11-24,1818.6707700010302
56,ALLE,2021-11-26,286717.6138240012
57,ALLE,2021-11-29,80184.07750099924
58,ALLE,2021-11-30,558962.6198179992
59,ALLE,2021-12-01,106626.9734409999
60,ALLE,2021-12-02,-655583.9524639992
61,ALLE,2021-12-03,-90684.92519100005
62,ALLE,2021-12-06,-264082.29140500125
63,ALLE,2021-12-07,-16616.72545399879
64,ALLE,2021-12-08,-79755.94359400036
65,ALLE,2021-12-09,171719.19832200118
66,ALLE,2021-12-10,-18043.130858001998
67,ALLE,2021-12-13,65351.679555001865
68,ALLE,2021-12-14,90561.2244949977
69,ALLE,2021-12-15,-80279.516198
70,ALLE,2021-12-16,-138558.96124999752
71,ALLE,2021-12-17,404412.4816559984
72,ALLE,2021-12-20,400836.6914630003
73,ALLE,2021-12-21,-238900.01479099964
74,ALLE,2021-12-22,12666.568814999644
75,ALLE,2021-12-23,-116510.88714300042
76,ALLE,2021-12-27,-258788.94037800044
77,ALLE,2021-12-28,-162904.66905599996
78,ALLE,2021-12-29,-142766.076771998
79,ALLE,2021-12-30,86844.627312998
80,ALLE,2021-12-31,-95909.44368299842
81,ALLE,2022-01-03,332412.034362998
82,ALLE,2022-01-04,-333147.5469689979
83,ALLE,2022-01-05,332542.46052299836
84,ALLE,2022-01-06,137066.58056000038
85,ALLE,2022-01-07,160263.5511800001
86,ALLE,2022-01-10,172402.2791540004
87,ALLE,2022-01-11,-287055.9512919997
88,ALLE,2022-01-12,1554.3212870004354
89,ALLE,2022-01-13,163496.22810399957
90,ALLE,2022-01-14,186006.88660000009
91,ALLE,2022-01-18,63596.861510999224
92,ALLE,2022-01-19,110939.40416299959
93,ALLE,2022-01-20,253635.13180200077
94,ALLE,2022-01-21,-62388.41749600043
95,ALLE,2022-01-24,-266326.193232
96,ALLE,2022-01-25,336956.3690429997
97,ALLE,2022-01-26,36556.65287600043
98,ALLE,2022-01-27,-13866.326552999642
99,ALLE,2022-01-28,-82893.60401699954
100,ALLE,2022-01-31,-178564.75280400002
101,ALLE,2022-02-01,317915.6279569996
102,ALLE,2022-02-02,-20607.585296000827
103,ALLE,2022-02-03,483951.57148700114
104,ALLE,2022-02-04,-386207.9152980003
105,ALLE,2022-02-07,-148160.63372399955
106,ALLE,2022-02-08,-149740.19959200002
107,ALLE,2022-02-09,-408452.8238630012
108,ALLE,2022-02-10,520577.928782
109,ALLE,2022-02-11,216192.10587900114
110,ALLE,2022-02-14,65476.618367000476
111,ALLE,2022-02-15,147110.16216999933
112,ALLE,2022-02-16,224355.11982499994
113,ALLE,2022-02-17,78873.39771800007
114,ALLE,2022-02-18,57227.47673999954
115,ALLE,2022-02-22,77408.99465200037
116,ALLE,2022-02-23,497397.4047840009
117,ALLE,2022-02-24,-288791.13238700037
118,ALLE,2022-02-25,-435036.17288900045
119,ALLE,2022-02-28,74820.32411499947
120,ALLE,2022-03-01,-14061.496225999945
121,ALLE,2022-03-02,-341618.10822399927
122,ALLE,2022-03-03,-44757.04150399992
123,ALLE,2022-03-04,51401.65762599911
124,ALLE,2022-03-07,311880.9364040009
125,ALLE,2022-03-08,412312.70539399877
126,ALLE,2022-03-09,-391556.7271389996
127,ALLE,2022-03-10,209626.21179700043
128,ALLE,2022-03-11,202765.99707600096
129,ALLE,2022-03-14,-106289.06613600095
130,ALLE,2022-03-16,146015.4539950004
131,ALLE,2022-03-17,-116063.07000000085
132,ALLE,2022-03-18,37597.05615400119
133,ALLE,2022-03-21,-61854.06256400001
134,ALLE,2022-03-25,-41870.6287019999
135,ALLE,2022-03-28,150207.38098399906
136,ALLE,2022-03-29,194632.70278900047
137,ALLE,2022-03-31,-399521.18793599907
138,ALLE,2022-04-01,222287.68154
139,ALLE,2022-04-04,-28668.647333999976
