,internPnl,balance,pnl
2021-09-07,0.0,100000000.0,1.0
2021-09-08,0.0,100000000.0,1.0
2021-09-09,521406.62122500024,100521406.621225,1.00521406621225
2021-09-10,121778.84340699839,100643185.464632,1.00643185464632
2021-09-13,90989.95822100091,100734175.422853,1.00734175422853
2021-09-14,874138.6454300001,101608314.068283,1.0160831406828301
2021-09-15,-1244880.0428369986,100363434.025446,1.00363434025446
2021-09-16,1096739.9392389979,101460173.964685,1.0146017396468499
2021-09-17,1535042.4360820013,102995216.400767,1.02995216400767
2021-09-20,1326782.2696149973,104321998.670382,1.0432199867038199
2021-09-21,613065.1985050014,104935063.86888699,1.04935063868887
2021-09-22,-700520.3845599989,104234543.484327,1.0423454348432701
2021-09-23,-991906.0277019991,103242637.456625,1.03242637456625
2021-09-24,-1404604.2527730016,101838033.203852,1.01838033203852
2021-09-27,-2152106.524671997,99685926.67918,0.9968592667917999
2021-09-28,590504.1607829982,100276430.839963,1.00276430839963
2021-09-29,914117.2993900015,101190548.139353,1.01190548139353
2021-09-30,1183880.5438839993,102374428.683237,1.02374428683237
2021-10-01,-37180.71212499832,102337247.971112,1.0233724797111199
2021-10-04,-84252.54656900454,102252995.424543,1.02252995424543
2021-10-05,-690148.8663229961,101562846.55822,1.0156284655822
2021-10-06,493751.53677599947,102056598.094996,1.02056598094996
2021-10-07,-910074.3260140002,101146523.76898201,1.01146523768982
2021-10-08,666144.185710999,101812667.954693,1.0181266795469301
2021-10-11,843235.7340680015,102655903.688761,1.0265590368876099
2021-10-12,179308.21887700012,102835211.907638,1.02835211907638
2021-10-13,151111.96919399966,102986323.87683201,1.02986323876832
2021-10-14,-1273420.8270349998,101712903.049797,1.0171290304979699
2021-10-15,567342.3672639969,102280245.417061,1.02280245417061
2021-10-18,32950.27540500021,102313195.692466,1.02313195692466
2021-10-19,-652767.703728997,101660427.988737,1.01660427988737
2021-10-20,-1532199.390593998,100128228.59814301,1.00128228598143
2021-10-21,1231731.0996729974,101359959.697816,1.01359959697816
2021-10-22,-986198.6994159977,100373760.9984,1.003737609984
2021-10-25,-1457891.7680390042,98915869.230361,0.98915869230361
2021-10-26,-462304.6113039945,98453564.619057,0.98453564619057
2021-10-27,1067468.511995995,99521033.131053,0.99521033131053
2021-10-28,-113800.6104939986,99407232.520559,0.99407232520559
2021-10-29,710407.4272009963,100117639.94776,1.0011763994776
2021-11-01,-214992.61705199513,99902647.330708,0.9990264733070799
2021-11-02,-158233.56775900253,99744413.762949,0.99744413762949
2021-11-03,-644710.5234459983,99099703.239503,0.99099703239503
2021-11-04,-690857.4422409997,98408845.797262,0.98408845797262
2021-11-05,-740939.0265879991,97667906.770674,0.9766790677067401
2021-11-08,-30809.101520002005,97637097.669154,0.97637097669154
2021-11-09,364202.7850739993,98001300.454228,0.98001300454228
2021-11-10,823796.0380669994,98825096.492295,0.98825096492295
2021-11-11,-1413065.737387997,97412030.754907,0.97412030754907
2021-11-12,-839165.5224350021,96572865.232472,0.96572865232472
2021-11-15,175630.18258399825,96748495.415056,0.96748495415056
2021-11-16,-657147.6292449976,96091347.785811,0.9609134778581101
2021-11-17,706824.6481440004,96798172.433955,0.96798172433955
2021-11-18,273483.755358997,97071656.189314,0.9707165618931399
2021-11-19,431188.92134400125,97502845.110658,0.9750284511065801
2021-11-22,-1189105.3395950012,96313739.771063,0.96313739771063
2021-11-23,-188338.83158700005,96125400.939476,0.96125400939476
2021-11-24,870555.8043360014,96995956.743812,0.96995956743812
2021-11-26,1358133.9219310032,98354090.66574301,0.9835409066574301
2021-11-29,359949.9416600019,98714040.60740301,0.9871404060740301
2021-11-30,2866976.437490996,101581017.044894,1.01581017044894
2021-12-01,980480.6908259977,102561497.73572,1.0256149773571999
2021-12-02,-1336278.1010029942,101225219.634717,1.01225219634717
2021-12-03,-296147.3367300038,100929072.297987,1.00929072297987
2021-12-06,-241522.00670299874,100687550.29128401,1.00687550291284
2021-12-07,-603335.9287730007,100084214.36251101,1.00084214362511
2021-12-08,-206764.05617199995,99877450.306339,0.99877450306339
