date,stock,count,marketPrice,filledPrice
2021-09-08,ALLE,-99795,142.679993,142.679993
2021-09-08,GPC,-118928,120.050003,120.050003
2021-09-08,HSY,-82229,173.720001,173.720001
2021-09-08,CMG,7540,1914.089966,1914.089966
2021-09-08,NKE,-87836,162.0,162.0
2021-09-08,EQT,-703037,20.75,20.75
2021-09-09,ALLE,1171,145.039993,145.039993
2021-09-09,GPC,-298,119.400002,119.400002
2021-09-09,HSY,1350,176.580002,176.580002
2021-09-09,CMG,-43,1910.219971,1910.219971
2021-09-09,NKE,-1055,165.259995,165.259995
2021-09-09,NUE,-127346,112.330002,112.330002
2021-09-09,EQT,5152,19.91,19.91
2021-09-10,ALLE,-1080,147.490005,147.490005
2021-09-10,GPC,119226,119.860001,119.860001
2021-09-10,HSY,-567,175.320007,175.320007
2021-09-10,CMG,-16,1926.359985,1926.359985
2021-09-10,NKE,1432,164.25,164.25
2021-09-10,NUE,441,113.510002,113.510002
2021-09-10,EQT,-21073,20.190001,20.190001
2021-09-13,ALLE,882,145.710007,145.710007
2021-09-13,HSY,-158,175.570007,175.570007
2021-09-13,CMG,34,1900.849976,1900.849976
2021-09-13,NKE,87459,161.559998,161.559998
2021-09-13,NUE,-361,113.330002,113.330002
2021-09-13,EQT,-17419,19.85,19.85
2021-09-14,ALLE,-1590,142.509995,142.509995
2021-09-14,GPC,-119836,119.0,119.0
2021-09-14,HSY,195,175.470001,175.470001
2021-09-14,CMG,136,1875.560059,1875.560059
2021-09-14,NUE,-3555,109.459999,109.459999
2021-09-14,EQT,21019,20.190001,20.190001
2021-09-15,ALLE,-1950,138.630005,138.630005
2021-09-15,GPC,119836,119.739998,119.739998
2021-09-15,HSY,-434,174.289993,174.289993
2021-09-15,CMG,31,1858.119995,1858.119995
2021-09-15,NUE,-3696,108.010002,108.010002
2021-09-15,EQT,-16117,19.84,19.84
2021-09-16,ALLE,1196,141.600006,141.600006
2021-09-16,GPC,-115068,124.25,124.25
2021-09-16,HSY,248,175.139999,175.139999
2021-09-16,CMG,-83,1900.0,1900.0
2021-09-16,NUE,4209,108.849998,108.849998
2021-09-16,EQT,37320,20.200001,20.200001
2021-09-17,ALLE,-7,141.210007,141.210007
2021-09-17,GPC,37,123.669998,123.669998
2021-09-17,HSY,223,175.039993,175.039993
2021-09-17,CMG,-150,1937.72998,1937.72998
2021-09-17,NUE,226,108.949997,108.949997
2021-09-17,EQT,-43743,19.23,19.23
2021-09-20,ALLE,-2017,136.080002,136.080002
2021-09-20,GPC,-2065,120.160004,120.160004
2021-09-20,HSY,-228,174.320007,174.320007
2021-09-20,CMG,-7449,1884.0,1884.0
2021-09-20,NUE,-6115,97.82,97.82
2021-09-20,EQT,-20769,18.51,18.51
2021-09-21,ALLE,-887,137.929993,137.929993
2021-09-21,GPC,117096,121.540001,121.540001
2021-09-21,HSY,-771,173.949997,173.949997
2021-09-21,NUE,-11260,97.809998,97.809998
2021-09-21,EQT,-2831,18.92,18.92
2021-09-22,ALLE,-1500,136.360001,136.360001
2021-09-22,HSY,-791,172.800003,172.800003
2021-09-22,NUE,-1027,98.5,98.5
2021-09-22,EQT,-15321,18.74,18.74
2021-09-23,ALLE,820,137.070007,137.070007
2021-09-23,GPC,-116770,123.190002,123.190002
2021-09-23,HSY,294,172.789993,172.789993
2021-09-23,NKE,90738,158.710007,158.710007
2021-09-23,NUE,1482,97.550003,97.550003
2021-09-23,EQT,21361,19.08,19.08
2021-09-24,ALLE,1701,138.309998,138.309998
2021-09-24,GPC,1003,122.910004,122.910004
2021-09-24,HSY,326,173.580002,173.580002
2021-09-24,NKE,-1217,151.039993,151.039993
2021-09-24,NUE,3283,98.760002,98.760002
2021-09-24,EQT,21729,19.41,19.41
