date,stock,todayPosition
2021-09-08,ALLE,-99795.0
2021-09-08,GPC,-118928.0
2021-09-08,HSY,-82229.0
2021-09-08,CMG,7540.0
2021-09-08,NKE,-87836.0
2021-09-08,EQT,-703037.0
2021-09-09,ALLE,-98624.0
2021-09-09,GPC,-119226.0
2021-09-09,HSY,-80879.0
2021-09-09,CMG,7497.0
2021-09-09,NKE,-88891.0
2021-09-09,NUE,-127346.0
2021-09-09,EQT,-697885.0
2021-09-10,ALLE,-99704.0
2021-09-10,GPC,0.0
2021-09-10,HSY,-81446.0
2021-09-10,CMG,7481.0
2021-09-10,NKE,-87459.0
2021-09-10,NUE,-126905.0
2021-09-10,EQT,-718958.0
2021-09-13,ALLE,-98822.0
2021-09-13,HSY,-81604.0
2021-09-13,CMG,7515.0
2021-09-13,NKE,0.0
2021-09-13,NUE,-127266.0
2021-09-13,EQT,-736377.0
2021-09-14,ALLE,-100412.0
2021-09-14,GPC,-119836.0
2021-09-14,HSY,-81409.0
2021-09-14,CMG,7651.0
2021-09-14,NUE,-130821.0
2021-09-14,EQT,-715358.0
2021-09-15,ALLE,-102362.0
2021-09-15,GPC,0.0
2021-09-15,HSY,-81843.0
2021-09-15,CMG,7682.0
2021-09-15,NUE,-134517.0
2021-09-15,EQT,-731475.0
2021-09-16,ALLE,-101166.0
2021-09-16,GPC,-115068.0
2021-09-16,HSY,-81595.0
2021-09-16,CMG,7599.0
2021-09-16,NUE,-130308.0
2021-09-16,EQT,-694155.0
2021-09-17,ALLE,-101173.0
2021-09-17,GPC,-115031.0
2021-09-17,HSY,-81372.0
2021-09-17,CMG,7449.0
2021-09-17,NUE,-130082.0
2021-09-17,EQT,-737898.0
2021-09-20,ALLE,-103190.0
2021-09-20,GPC,-117096.0
2021-09-20,HSY,-81600.0
2021-09-20,CMG,0.0
2021-09-20,NUE,-136197.0
2021-09-20,EQT,-758667.0
2021-09-21,ALLE,-104077.0
2021-09-21,GPC,0.0
2021-09-21,HSY,-82371.0
2021-09-21,NUE,-147457.0
2021-09-21,EQT,-761498.0
2021-09-22,ALLE,-105577.0
2021-09-22,HSY,-83162.0
2021-09-22,NUE,-148484.0
2021-09-22,EQT,-776819.0
2021-09-23,ALLE,-104757.0
2021-09-23,GPC,-116770.0
2021-09-23,HSY,-82868.0
2021-09-23,NKE,90738.0
2021-09-23,NUE,-147002.0
2021-09-23,EQT,-755458.0
2021-09-24,ALLE,-103056.0
2021-09-24,GPC,-115767.0
2021-09-24,HSY,-82542.0
2021-09-24,NKE,89521.0
2021-09-24,NUE,-143719.0
2021-09-24,EQT,-733729.0
2021-09-27,ALLE,-104017.0
2021-09-27,GPC,-116125.0
2021-09-27,HSY,-82082.0
2021-09-27,NKE,95500.0
2021-09-27,NUE,-141554.0
